ID,generated
TEST_0000,0.053483464
TEST_0001,0.069567695
TEST_0002,0.059590388
TEST_0003,0.0975824
TEST_0004,0.07534914
TEST_0005,0.09484699
TEST_0006,0.06428013
TEST_0007,0.1939784
TEST_0008,0.081886455
TEST_0009,0.05919569
TEST_0010,0.07353817
TEST_0011,0.0539293
TEST_0012,0.063494414
TEST_0013,0.07422483
TEST_0014,0.055642903
TEST_0015,0.046173546
TEST_0016,0.051746942
TEST_0017,0.11148167
TEST_0018,0.075683296
TEST_0019,0.06812597
TEST_0020,0.043319076
TEST_0021,0.07229665
TEST_0022,0.0607663
TEST_0023,0.056411248
TEST_0024,0.055571605
TEST_0025,0.054078054
TEST_0026,0.21742162
TEST_0027,0.10287305
TEST_0028,0.058679957
TEST_0029,0.06296873
TEST_0030,0.059402682
TEST_0031,0.12002112
TEST_0032,0.1477578
TEST_0033,0.05703337
TEST_0034,0.04929594
TEST_0035,0.050244886
TEST_0036,0.060293693
TEST_0037,0.06394284
TEST_0038,0.21861108
TEST_0039,0.05861806
TEST_0040,0.076484315
TEST_0041,0.0772498
TEST_0042,0.07117353
TEST_0043,0.13948534
TEST_0044,0.06752876
TEST_0045,0.048422057
TEST_0046,0.10688375
TEST_0047,0.17288049
TEST_0048,0.066784985
TEST_0049,0.25104666
TEST_0050,0.057181813
TEST_0051,0.50814486
TEST_0052,0.048573248
TEST_0053,0.7822617
TEST_0054,0.050102293
TEST_0055,0.057849396
TEST_0056,0.2344397
TEST_0057,0.08242562
TEST_0058,0.08122415
TEST_0059,0.056842815
TEST_0060,0.052393764
TEST_0061,0.07473258
TEST_0062,0.06425549
TEST_0063,0.059652008
TEST_0064,0.05234434
TEST_0065,0.06888856
TEST_0066,0.05483953
TEST_0067,0.04615313
TEST_0068,0.062325556
TEST_0069,0.057802163
TEST_0070,0.056288432
TEST_0071,0.057266247
TEST_0072,0.04586368
TEST_0073,0.058955573
TEST_0074,0.049718272
TEST_0075,0.057139702
TEST_0076,0.054071177
TEST_0077,0.056987446
TEST_0078,0.069251694
TEST_0079,0.07674241
TEST_0080,0.0549464
TEST_0081,0.0527008
TEST_0082,0.07189149
TEST_0083,0.051304113
TEST_0084,0.05797019
TEST_0085,0.08387508
TEST_0086,0.06314887
TEST_0087,0.12850872
TEST_0088,0.30333194
TEST_0089,0.0636317
TEST_0090,0.5440509
TEST_0091,0.07525498
TEST_0092,0.07642095
TEST_0093,0.08206384
TEST_0094,0.15072913
TEST_0095,0.063425444
TEST_0096,0.05978418
TEST_0097,0.03994505
TEST_0098,0.054549962
TEST_0099,0.066631444
TEST_0100,0.08280891
TEST_0101,0.03893267
TEST_0102,0.05165229
TEST_0103,0.053480588
TEST_0104,0.04982551
TEST_0105,0.06594826
TEST_0106,0.2696425
TEST_0107,0.26655647
TEST_0108,0.061157055
TEST_0109,0.044860266
TEST_0110,0.058519054
TEST_0111,0.05162441
TEST_0112,0.060568266
TEST_0113,0.086518876
TEST_0114,0.06714394
TEST_0115,0.04428666
TEST_0116,0.07099271
TEST_0117,0.047048606
TEST_0118,0.060503114
TEST_0119,0.04896748
TEST_0120,0.073500164
TEST_0121,0.043417305
TEST_0122,0.119868316
TEST_0123,0.18889578
TEST_0124,0.052304916
TEST_0125,0.21817422
TEST_0126,0.06700044
TEST_0127,0.05719627
TEST_0128,0.07987033
TEST_0129,0.075070515
TEST_0130,0.048437357
TEST_0131,0.23633257
TEST_0132,0.06783968
TEST_0133,0.051939093
TEST_0134,0.064916626
TEST_0135,0.06179484
TEST_0136,0.05145502
TEST_0137,0.044458427
TEST_0138,0.05670604
TEST_0139,0.04800041
TEST_0140,0.05045622
TEST_0141,0.07716713
TEST_0142,0.12202698
TEST_0143,0.04856094
TEST_0144,0.05795045
TEST_0145,0.2034022
TEST_0146,0.049767382
TEST_0147,0.06416495
TEST_0148,0.053656984
TEST_0149,0.69299954
TEST_0150,0.9976282
TEST_0151,0.74737316
TEST_0152,0.1025456
TEST_0153,0.72950494
TEST_0154,0.972345
TEST_0155,0.24674408
TEST_0156,0.059064478
TEST_0157,0.061772205
TEST_0158,0.06567829
TEST_0159,0.047816303
TEST_0160,0.049089856
TEST_0161,0.14487806
TEST_0162,0.044359274
TEST_0163,0.039932717
TEST_0164,0.04149748
TEST_0165,0.05196497
TEST_0166,0.08290579
TEST_0167,0.046913303
TEST_0168,0.05436151
TEST_0169,0.26739395
TEST_0170,0.1274978
TEST_0171,0.22241727
TEST_0172,0.65781915
TEST_0173,0.043157462
TEST_0174,0.76710385
TEST_0175,0.04202007
TEST_0176,0.039760064
TEST_0177,0.036870427
TEST_0178,0.047361057
TEST_0179,0.05612002
TEST_0180,0.08233037
TEST_0181,0.057026587
TEST_0182,0.11663948
TEST_0183,0.08028953
TEST_0184,0.058924474
TEST_0185,0.058013625
TEST_0186,0.04689614
TEST_0187,0.053676687
TEST_0188,0.062126
TEST_0189,0.049584247
TEST_0190,0.05325873
TEST_0191,0.05057933
TEST_0192,0.08083794
TEST_0193,0.05230143
TEST_0194,0.07298525
TEST_0195,0.052392654
TEST_0196,0.04936657
TEST_0197,0.058207862
TEST_0198,0.064845085
TEST_0199,0.08372193
TEST_0200,0.042203635
TEST_0201,0.065633796
TEST_0202,0.08553152
TEST_0203,0.0614493
TEST_0204,0.08250741
TEST_0205,0.0671048
TEST_0206,0.07417342
TEST_0207,0.048147622
TEST_0208,0.055576444
TEST_0209,0.10965149
TEST_0210,0.0470375
TEST_0211,0.055582993
TEST_0212,0.10658629
TEST_0213,0.12122457
TEST_0214,0.06420977
TEST_0215,0.162402
TEST_0216,0.05477069
TEST_0217,0.07638931
TEST_0218,0.04370161
TEST_0219,0.06704582
TEST_0220,0.05002401
TEST_0221,0.07551358
TEST_0222,0.06372443
TEST_0223,0.048626564
TEST_0224,0.06752851
TEST_0225,0.052603215
TEST_0226,0.06988738
TEST_0227,0.067960694
TEST_0228,0.11385125
TEST_0229,0.049836956
TEST_0230,0.047558777
TEST_0231,0.08734822
TEST_0232,0.15540919
TEST_0233,0.06987163
TEST_0234,0.048574388
TEST_0235,0.06341523
TEST_0236,0.0765595
TEST_0237,0.053803205
TEST_0238,0.050305285
TEST_0239,0.044084974
TEST_0240,0.076703325
TEST_0241,0.052623015
TEST_0242,0.04985816
TEST_0243,0.05515399
TEST_0244,0.056438457
TEST_0245,0.047732685
TEST_0246,0.07238455
TEST_0247,0.07005563
TEST_0248,0.0906574
TEST_0249,0.051083334
TEST_0250,0.06208538
TEST_0251,0.062455297
TEST_0252,0.05969581
TEST_0253,0.057433527
TEST_0254,0.081376076
TEST_0255,0.063478746
TEST_0256,0.067106925
TEST_0257,0.10358225
TEST_0258,0.07017764
TEST_0259,0.05430339
TEST_0260,0.09626709
TEST_0261,0.053248793
TEST_0262,0.06882131
TEST_0263,0.09040206
TEST_0264,0.12024961
TEST_0265,0.07585541
TEST_0266,0.107543945
TEST_0267,0.0513546
TEST_0268,0.11733425
TEST_0269,0.045252718
TEST_0270,0.08505544
TEST_0271,0.05449165
TEST_0272,0.057141762
TEST_0273,0.06373255
TEST_0274,0.10556135
TEST_0275,0.3147877
TEST_0276,0.15399122
TEST_0277,0.057263397
TEST_0278,0.064976946
TEST_0279,0.10840906
TEST_0280,0.06862713
TEST_0281,0.046283577
TEST_0282,0.04658461
TEST_0283,0.04573732
TEST_0284,0.07776271
TEST_0285,0.2864307
TEST_0286,0.9265291
TEST_0287,0.115343764
TEST_0288,0.4910601
TEST_0289,0.32390434
TEST_0290,0.5949265
TEST_0291,0.10037537
TEST_0292,0.813769
TEST_0293,0.1487665
TEST_0294,0.068512335
TEST_0295,0.05428059
TEST_0296,0.07071848
TEST_0297,0.050728105
TEST_0298,0.15556265
TEST_0299,0.98578185
TEST_0300,0.2648311
TEST_0301,0.97472656
TEST_0302,0.9691035
TEST_0303,0.16976257
TEST_0304,0.061600544
TEST_0305,0.14958532
TEST_0306,0.074143924
TEST_0307,0.99934465
TEST_0308,0.8539255
TEST_0309,0.8158782
TEST_0310,0.9790169
TEST_0311,0.37343535
TEST_0312,0.13727629
TEST_0313,0.52283084
TEST_0314,0.9172381
TEST_0315,0.44773227
TEST_0316,0.11399279
TEST_0317,0.6946739
TEST_0318,0.3044449
TEST_0319,0.059249055
TEST_0320,0.06490512
TEST_0321,0.7846813
TEST_0322,0.061824065
TEST_0323,0.04928883
TEST_0324,0.069925584
TEST_0325,0.05416395
TEST_0326,0.08346579
TEST_0327,0.2556685
TEST_0328,0.22095522
TEST_0329,0.112850405
TEST_0330,0.065069325
TEST_0331,0.046266414
TEST_0332,0.058885507
TEST_0333,0.09667237
TEST_0334,0.05361565
TEST_0335,0.051323693
TEST_0336,0.58274686
TEST_0337,0.060452305
TEST_0338,0.05035361
TEST_0339,0.047153287
TEST_0340,0.06444375
TEST_0341,0.2317487
TEST_0342,0.64255357
TEST_0343,0.3908325
TEST_0344,0.28417808
TEST_0345,0.73543394
TEST_0346,0.52499586
TEST_0347,0.36713386
TEST_0348,0.3244165
TEST_0349,0.77839535
TEST_0350,0.8412402
TEST_0351,0.5108565
TEST_0352,0.5212444
TEST_0353,0.07018988
TEST_0354,0.056913532
TEST_0355,0.058972042
TEST_0356,0.18238193
TEST_0357,0.051069416
TEST_0358,0.048803896
TEST_0359,0.07618095
