ID,generated
TEST_0000,0.25125542
TEST_0001,0.2688373
TEST_0002,0.25762892
TEST_0003,0.30270734
TEST_0004,0.28433746
TEST_0005,0.29446167
TEST_0006,0.27055112
TEST_0007,0.34689742
TEST_0008,0.29434758
TEST_0009,0.26161966
TEST_0010,0.28792998
TEST_0011,0.25714508
TEST_0012,0.26407674
TEST_0013,0.2707215
TEST_0014,0.2686521
TEST_0015,0.24755418
TEST_0016,0.25232968
TEST_0017,0.31649935
TEST_0018,0.28599918
TEST_0019,0.2715345
TEST_0020,0.24408393
TEST_0021,0.28333336
TEST_0022,0.26005843
TEST_0023,0.25612712
TEST_0024,0.2529607
TEST_0025,0.2523475
TEST_0026,0.35889474
TEST_0027,0.3075064
TEST_0028,0.25883055
TEST_0029,0.27852947
TEST_0030,0.26330757
TEST_0031,0.31621033
TEST_0032,0.34613124
TEST_0033,0.25529847
TEST_0034,0.24704914
TEST_0035,0.25409928
TEST_0036,0.25991935
TEST_0037,0.2714559
TEST_0038,0.37694794
TEST_0039,0.25613815
TEST_0040,0.28134888
TEST_0041,0.27444747
TEST_0042,0.27404657
TEST_0043,0.30433863
TEST_0044,0.27790195
TEST_0045,0.25072488
TEST_0046,0.31576067
TEST_0047,0.3500352
TEST_0048,0.26803675
TEST_0049,0.41137585
TEST_0050,0.26100418
TEST_0051,0.5237354
TEST_0052,0.24923292
TEST_0053,0.7011425
TEST_0054,0.2513543
TEST_0055,0.260948
TEST_0056,0.3998504
TEST_0057,0.29305953
TEST_0058,0.27504176
TEST_0059,0.25264362
TEST_0060,0.25969946
TEST_0061,0.27157068
TEST_0062,0.2642249
TEST_0063,0.27404138
TEST_0064,0.25278467
TEST_0065,0.278163
TEST_0066,0.24655361
TEST_0067,0.2430009
TEST_0068,0.26894256
TEST_0069,0.26501763
TEST_0070,0.25482792
TEST_0071,0.2648
TEST_0072,0.25740212
TEST_0073,0.26787966
TEST_0074,0.25722486
TEST_0075,0.26223755
TEST_0076,0.25183806
TEST_0077,0.25381142
TEST_0078,0.26792374
TEST_0079,0.288405
TEST_0080,0.26633805
TEST_0081,0.25691304
TEST_0082,0.28824252
TEST_0083,0.25252682
TEST_0084,0.26531437
TEST_0085,0.28407943
TEST_0086,0.2640163
TEST_0087,0.29829437
TEST_0088,0.3931713
TEST_0089,0.27165967
TEST_0090,0.49248043
TEST_0091,0.29541484
TEST_0092,0.29777783
TEST_0093,0.29646024
TEST_0094,0.3506922
TEST_0095,0.26058596
TEST_0096,0.26665726
TEST_0097,0.23913185
TEST_0098,0.25781733
TEST_0099,0.26465672
TEST_0100,0.3027278
TEST_0101,0.24072841
TEST_0102,0.25399408
TEST_0103,0.25772905
TEST_0104,0.25012517
TEST_0105,0.2707878
TEST_0106,0.3993972
TEST_0107,0.39321393
TEST_0108,0.26752654
TEST_0109,0.24448684
TEST_0110,0.26349205
TEST_0111,0.2547964
TEST_0112,0.25715032
TEST_0113,0.302556
TEST_0114,0.26794243
TEST_0115,0.24080601
TEST_0116,0.278199
TEST_0117,0.24559517
TEST_0118,0.26032916
TEST_0119,0.2514524
TEST_0120,0.28124136
TEST_0121,0.2435339
TEST_0122,0.32054836
TEST_0123,0.36387974
TEST_0124,0.2536125
TEST_0125,0.38779685
TEST_0126,0.27585253
TEST_0127,0.2509652
TEST_0128,0.2852915
TEST_0129,0.2858031
TEST_0130,0.24658279
TEST_0131,0.360806
TEST_0132,0.2660653
TEST_0133,0.25085357
TEST_0134,0.27596074
TEST_0135,0.26361927
TEST_0136,0.25477844
TEST_0137,0.24207385
TEST_0138,0.25949517
TEST_0139,0.25314477
TEST_0140,0.24608307
TEST_0141,0.27791172
TEST_0142,0.3086484
TEST_0143,0.24616969
TEST_0144,0.2580669
TEST_0145,0.32227424
TEST_0146,0.25679243
TEST_0147,0.26804343
TEST_0148,0.25316066
TEST_0149,0.51245433
TEST_0150,0.9224845
TEST_0151,0.56112266
TEST_0152,0.26366562
TEST_0153,0.47806448
TEST_0154,0.75502753
