ID,generated
TEST_0000,0.058561496
TEST_0001,0.07462444
TEST_0002,0.06199912
TEST_0003,0.10353355
TEST_0004,0.08460463
TEST_0005,0.08768186
TEST_0006,0.0828868
TEST_0007,0.16366597
TEST_0008,0.10365589
TEST_0009,0.064277485
TEST_0010,0.0936134
TEST_0011,0.06149543
TEST_0012,0.07655276
TEST_0013,0.10121288
TEST_0014,0.07113023
TEST_0015,0.04524345
TEST_0016,0.060456257
TEST_0017,0.12159978
TEST_0018,0.09115323
TEST_0019,0.0840404
TEST_0020,0.029107824
TEST_0021,0.08686222
TEST_0022,0.063791774
TEST_0023,0.060836256
TEST_0024,0.05324965
TEST_0025,0.051709313
TEST_0026,0.21113844
TEST_0027,0.12429931
TEST_0028,0.07094879
TEST_0029,0.08287285
TEST_0030,0.060623348
TEST_0031,0.15379295
TEST_0032,0.15872058
TEST_0033,0.06497206
TEST_0034,0.04562769
TEST_0035,0.057254337
TEST_0036,0.07117685
TEST_0037,0.08153324
TEST_0038,0.25724798
TEST_0039,0.05054916
TEST_0040,0.08806367
TEST_0041,0.08922116
TEST_0042,0.087126344
TEST_0043,0.11119733
TEST_0044,0.080870174
TEST_0045,0.047542144
TEST_0046,0.107930854
TEST_0047,0.15076467
TEST_0048,0.08078641
TEST_0049,0.5188795
TEST_0050,0.06345939
TEST_0051,0.7156621
TEST_0052,0.041669548
TEST_0053,0.9325802
TEST_0054,0.05195852
TEST_0055,0.059998058
TEST_0056,0.33458072
TEST_0057,0.10460727
TEST_0058,0.07356259
TEST_0059,0.0553791
TEST_0060,0.06357456
TEST_0061,0.06527965
TEST_0062,0.06885326
TEST_0063,0.07778496
TEST_0064,0.054548673
TEST_0065,0.08194293
TEST_0066,0.048957378
TEST_0067,0.03825746
TEST_0068,0.079154715
TEST_0069,0.07167246
TEST_0070,0.063246176
TEST_0071,0.06688484
TEST_0072,0.039925862
TEST_0073,0.074127056
TEST_0074,0.050582964
TEST_0075,0.058261286
TEST_0076,0.048216432
TEST_0077,0.056350928
TEST_0078,0.07254591
TEST_0079,0.08894093
TEST_0080,0.06272898
TEST_0081,0.06763912
TEST_0082,0.09315924
TEST_0083,0.052983493
TEST_0084,0.06925781
TEST_0085,0.08356631
TEST_0086,0.072340295
TEST_0087,0.13351913
TEST_0088,0.40546113
TEST_0089,0.07242294
TEST_0090,0.6654984
TEST_0091,0.104344025
TEST_0092,0.10311353
TEST_0093,0.08253852
TEST_0094,0.2445981
TEST_0095,0.06287346
TEST_0096,0.065414235
TEST_0097,0.024582105
TEST_0098,0.056495864
TEST_0099,0.06598182
TEST_0100,0.10795573
TEST_0101,0.027618539
TEST_0102,0.053830326
TEST_0103,0.059670933
TEST_0104,0.04542011
TEST_0105,0.09533466
TEST_0106,0.39698702
TEST_0107,0.34103596
TEST_0108,0.08132455
TEST_0109,0.040435012
TEST_0110,0.063101925
TEST_0111,0.05713746
TEST_0112,0.052986413
TEST_0113,0.10325909
TEST_0114,0.068161145
TEST_0115,0.04335182
TEST_0116,0.069195785
TEST_0117,0.042224295
TEST_0118,0.062446367
TEST_0119,0.052930377
TEST_0120,0.098837204
TEST_0121,0.026564557
TEST_0122,0.1282376
TEST_0123,0.26441357
TEST_0124,0.049759068
TEST_0125,0.25322017
TEST_0126,0.07982216
TEST_0127,0.051731933
TEST_0128,0.07798217
TEST_0129,0.09129331
TEST_0130,0.045607254
TEST_0131,0.34624243
TEST_0132,0.077772215
TEST_0133,0.042202715
TEST_0134,0.07741029
TEST_0135,0.068576485
TEST_0136,0.054975294
TEST_0137,0.034506075
TEST_0138,0.055025946
TEST_0139,0.04486389
TEST_0140,0.038329013
TEST_0141,0.07211073
TEST_0142,0.09011561
TEST_0143,0.04662784
TEST_0144,0.055077028
TEST_0145,0.21223588
TEST_0146,0.055500567
TEST_0147,0.07124506
TEST_0148,0.046869792
TEST_0149,0.8961013
TEST_0150,0.99939805
TEST_0151,0.8714139
TEST_0152,0.11698338
TEST_0153,0.8437153
TEST_0154,0.9943727
TEST_0155,0.2936803
TEST_0156,0.063822545
TEST_0157,0.07711919
TEST_0158,0.061662294
TEST_0159,0.04425899
TEST_0160,0.043116726
TEST_0161,0.1865566
TEST_0162,0.028720494
TEST_0163,0.02180263
TEST_0164,0.023590595
TEST_0165,0.040199824
TEST_0166,0.096481435
TEST_0167,0.036791764
TEST_0168,0.03925402
TEST_0169,0.27902162
TEST_0170,0.1439749
TEST_0171,0.17535636
TEST_0172,0.8306018
TEST_0173,0.035437513
TEST_0174,0.74410355
TEST_0175,0.034923412
TEST_0176,0.026950862
TEST_0177,0.019792195
TEST_0178,0.03996271
TEST_0179,0.057991397
TEST_0180,0.08578313
TEST_0181,0.062989704
