ID,generated
TEST_0000,0.07306858
TEST_0001,0.078808844
TEST_0002,0.08430271
TEST_0003,0.15881813
TEST_0004,0.08476641
TEST_0005,0.108037785
TEST_0006,0.10161047
TEST_0007,0.24251465
TEST_0008,0.11536534
TEST_0009,0.06646005
TEST_0010,0.10704167
TEST_0011,0.081755
TEST_0012,0.08532484
TEST_0013,0.126134
TEST_0014,0.067717224
TEST_0015,0.051780485
TEST_0016,0.07298699
TEST_0017,0.15875171
TEST_0018,0.12853679
TEST_0019,0.094333276
TEST_0020,0.04270838
TEST_0021,0.08408169
TEST_0022,0.07866086
TEST_0023,0.055806268
TEST_0024,0.063602775
TEST_0025,0.052568115
TEST_0026,0.24402976
TEST_0027,0.1650972
TEST_0028,0.07698916
TEST_0029,0.06824921
TEST_0030,0.065955445
TEST_0031,0.12829557
TEST_0032,0.13083409
TEST_0033,0.08630874
TEST_0034,0.04240539
TEST_0035,0.05778593
TEST_0036,0.08029648
TEST_0037,0.08631751
TEST_0038,0.2623952
TEST_0039,0.09605329
TEST_0040,0.07859032
TEST_0041,0.09082679
TEST_0042,0.08687223
TEST_0043,0.13066995
TEST_0044,0.06520157
TEST_0045,0.042214934
TEST_0046,0.1302578
TEST_0047,0.15103847
TEST_0048,0.09707117
TEST_0049,0.47173563
TEST_0050,0.06351899
TEST_0051,0.6008309
TEST_0052,0.04142251
TEST_0053,0.93322295
TEST_0054,0.048514474
TEST_0055,0.06587699
TEST_0056,0.575864
TEST_0057,0.11113869
TEST_0058,0.09261753
TEST_0059,0.056351088
TEST_0060,0.06800839
TEST_0061,0.07921769
TEST_0062,0.09272213
TEST_0063,0.08847109
TEST_0064,0.050913554
TEST_0065,0.08217204
TEST_0066,0.06579647
TEST_0067,0.047325715
TEST_0068,0.076022975
TEST_0069,0.06966163
TEST_0070,0.06179923
TEST_0071,0.0631852
TEST_0072,0.05403579
TEST_0073,0.062833235
TEST_0074,0.04376935
TEST_0075,0.08500105
TEST_0076,0.07552831
TEST_0077,0.055427454
TEST_0078,0.068158105
TEST_0079,0.1157279
TEST_0080,0.07148855
TEST_0081,0.052024245
TEST_0082,0.09929015
TEST_0083,0.05305896
TEST_0084,0.06961044
TEST_0085,0.07916925
TEST_0086,0.061559875
TEST_0087,0.12053512
TEST_0088,0.40559426
TEST_0089,0.082696244
TEST_0090,0.7737573
TEST_0091,0.18177237
TEST_0092,0.13461816
TEST_0093,0.19659123
TEST_0094,0.2424041
TEST_0095,0.06547515
TEST_0096,0.06642397
TEST_0097,0.026152078
TEST_0098,0.04608835
TEST_0099,0.054335512
TEST_0100,0.08409808
TEST_0101,0.029765878
TEST_0102,0.049702566
TEST_0103,0.057689033
TEST_0104,0.06304933
TEST_0105,0.10942297
TEST_0106,0.2519931
TEST_0107,0.28334805
TEST_0108,0.09795341
TEST_0109,0.059067767
TEST_0110,0.06910743
TEST_0111,0.03984069
TEST_0112,0.041803867
TEST_0113,0.11184484
TEST_0114,0.078398906
TEST_0115,0.044178408
TEST_0116,0.06783301
TEST_0117,0.05744394
TEST_0118,0.06106267
TEST_0119,0.04840529
TEST_0120,0.08747055
TEST_0121,0.01949713
TEST_0122,0.12801597
TEST_0123,0.17280602
